mm/dd,probabilities
1/1,0.0018658233267441775
1/2,0.00231693029722728
1/3,0.002735538526493887
1/4,0.002760431179340565
1/5,0.0026803340838436004
1/6,0.002639891563230297
1/7,0.002695449777432668
1/8,0.0026223798714021113
1/9,0.0026346010704741234
1/10,0.0027554462165611912
1/11,0.002738497343111322
1/12,0.0026689651526016103
1/13,0.0025614507618180924
1/14,0.0027077996207054383
1/15,0.0025937886977836404
1/16,0.0026218331335488895
1/17,0.0027221112880397684
1/18,0.0027104529073460728
1/19,0.002602520422910091
1/20,0.0026103837996814257
1/21,0.0026487680130826007
1/22,0.0026187295922056025
1/23,0.002689869835224789
1/24,0.0027607688703675543
1/25,0.002721178617584273
1/26,0.002638701604373285
1/27,0.0026146129777813456
1/28,0.0026612625810812237
1/29,0.0025936600535828823
1/30,0.0026603459911508226
1/31,0.0027173514526117218
2/1,0.002724748494155308
2/2,0.0026704284803852328
2/3,0.002625210043818788
2/4,0.002679996392816611
2/5,0.002627413075756769
2/6,0.002671377231365823
2/7,0.002792013330626659
2/8,0.0027484029465696894
2/9,0.0026418855483420463
2/10,0.002660780165328381
2/11,0.0027076548959795855
2/12,0.0026817974116272233
2/13,0.002620434127865646
2/14,0.002894140745503435
2/15,0.0027786825753231092
2/16,0.0026560846520007134
2/17,0.0026225567571781534
2/18,0.002686042670252238
2/19,0.002616140627665347
2/20,0.0026896607883985573
2/21,0.002741729528655367
2/22,0.0027556391828623284
2/23,0.002652193164927783
2/24,0.0026254030101199245
2/25,0.002694999522730015
2/26,0.002626158794799378
2/27,0.002678179293480904
2/28,0.0027485959128708266
2/29,0.0006732755051922086
3/1,0.002760993997718881
3/2,0.0026507298371441605
3/3,0.0026833893836116034
3/4,0.002648221275229379
3/5,0.0026895803857730836
3/6,0.002695144247455868
3/7,0.0027599648441128167
3/8,0.002718203720441744
3/9,0.0026483981610054214
3/10,0.0026476423763259677
3/11,0.0026280241357103692
3/12,0.0027023965642736015
3/13,0.0026290693698415284
3/14,0.0027679247040347196
3/15,0.002718830860920439
3/16,0.002637495564991179
3/17,0.0026952407306064367
3/18,0.0026385729601725275
3/19,0.002680961224322296
3/20,0.002732965642478727
3/21,0.002783458491276251
3/22,0.0027155825948512987
3/23,0.002638524718597243
3/24,0.0026392965838017914
3/25,0.002646018243291398
3/26,0.0026667942817138186
3/27,0.002691365324058601
3/28,0.0027586140800048577
3/29,0.0026802215201679374
3/30,0.0026311437575787513
3/31,0.002599159593165288
4/1,0.0024882522115867774
4/2,0.0027126720198091484
4/3,0.0027066096618484268
4/4,0.0028035913086948815
4/5,0.0027120448793304533
4/6,0.0026096601760521618
4/7,0.002622315549301732
4/8,0.0026224120324523006
4/9,0.002658094717637557
4/10,0.0026817652505770335
4/11,0.002756780900144056
4/12,0.0027159363664033833
4/13,0.002532859588199622
4/14,0.0026234411860583647
4/15,0.002622460274027585
4/16,0.002681813492152318
4/17,0.002693906047023572
4/18,0.0027395586577675752
4/19,0.002697427682019323
4/20,0.0026302271676483507
4/21,0.002611059181735405
4/22,0.00261401799835284
4/23,0.0026617771578842557
4/24,0.0026798195070405683
4/25,0.0027447044257978962
4/26,0.002695337213757005
4/27,0.0026144039309551137
4/28,0.0026137928710015133
4/29,0.002588819815529362
4/30,0.0026359035930067984
5/1,0.0027246520110047394
5/2,0.002763615123309326
5/3,0.002702686013725307
5/4,0.0026089526329479925
5/5,0.0026705410440608962
5/6,0.002626351761100515
5/7,0.002682054700028739
5/8,0.0027112890946509997
5/9,0.002744463217921475
5/10,0.0027480652555427
5/11,0.0026402935763576657
5/12,0.0026563901819775136
5/13,0.0025695875075160374
5/14,0.0027183323646425015
5/15,0.0027582763889778678
5/16,0.002813529073203439
5/17,0.002754031130352853
5/18,0.0026656847254822808
5/19,0.0026555539946725862
5/20,0.0026995342308067357
5/21,0.0027670402751545082
5/22,0.0027916917201247643
5/23,0.0028766612147254384
5/24,0.002812741127473796
5/25,0.002677005415148987
5/26,0.0024917577660574335
5/27,0.002571179479500418
5/28,0.002600526437798342
5/29,0.0026548464515684174
5/30,0.0027264208687651625
5/31,0.0026617289163089713
6/1,0.0027553658139357175
6/2,0.0027582281474025834
6/3,0.0027107905983730627
6/4,0.0027587588047307105
6/5,0.0027629879828306304
6/6,0.0027910324185958795
6/7,0.0027685036029381307
6/8,0.002716997681059637
6/9,0.0026869914212328283
6/10,0.002705049850914236
6/11,0.002739928509844755
6/12,0.0027781358374698874
6/13,0.0027517316152643034
6/14,0.002803478745019218
6/15,0.002719281115623092
